No.;nama_kecamatan;suspek;kontak_erat;positif;sembuh;meninggal;klaster
1;CAKUNG;4566;9265;3320;2993;57;5
2;CEMPAKA PUTIH;2963;5654;1675;1541;29;7
3;CENGKARENG;5462;9716;3815;3458;82;5
4;CILANDAK;3873;6509;1834;1599;38;7
5;CILINCING;4991;6720;2604;2391;50;6
6;CIPAYUNG;4128;5600;1962;1800;19;6
7;CIRACAS;4492;7980;1926;1695;42;7
8;DUREN SAWIT;5332;8271;3364;3010;85;5
9;GAMBIR;1645;3650;1289;1148;30;5
10;GROGOL PETAMBURAN;3750;6795;2270;2065;54;5
11;JAGAKARSA;5748;6552;2189;1927;33;6
12;JATINEGARA;2983;5549;2672;2363;43;5
13;JOHAR BARU;2107;4995;1632;1480;60;5
14;KALI DERES;4746;8332;1965;1728;45;7
15;KEBAYORAN BARU;4033;4843;1475;1286;20;6
16;KEBAYORAN LAMA;3879;4985;2319;2025;50;4
17;KEBON JERUK;4569;9073;2858;2586;70;7
18;KELAPA GADING;3271;5270;1554;1415;26;7
19;KEMAYORAN;4218;6867;2713;2480;73;5
20;KEMBANGAN;4120;7791;2168;1962;31;7
21;KEP. SERIBU SELATAN;83;736;50;49;0;1
22;KEP. SERIBU UTARA;364;509;55;54;0;2
23;KOJA;4317;4658;2843;2629;61;4
24;KRAMAT JATI;3622;8022;2466;2219;55;5
25;MAKASAR;2055;5385;2022;1816;39;5
26;MAMPANG PRAPATAN;1945;5726;1673;1484;29;5
27;MATRAMAN;2821;4956;1715;1543;48;5
28;MENTENG;1584;2945;1070;988;23;5
29;PADEMANGAN;3557;4729;1606;1495;34;6
30;PALMERAH;5033;7378;2504;2285;62;6
31;PANCORAN;2841;4483;1420;1271;20;7
32;PASAR MINGGU;5455;6199;2356;2049;50;6
33;PASAR REBO;4758;2966;1662;1521;30;3
34;PENJARINGAN;3478;7464;2039;1869;42;7
35;PESANGGRAHAN;3680;7425;1761;1607;31;7
36;PULO GADUNG;3252;7950;2420;2185;62;5
37;SAWAH BESAR;2086;4096;1253;1155;33;7
38;SENEN;2294;5217;1539;1412;38;5
39;SETIA BUDI;2055;4976;1478;1345;31;5
40;TAMAN SARI;2156;3263;1360;1261;19;5
41;TAMBORA;3771;3695;1860;1730;53;4
42;TANAH ABANG;2909;5358;2106;1924;57;5
43;TANJUNG PRIOK;6164;10169;3567;3276;73;5
44;TEBET;3958;5340;2140;1886;48;6
